2025-05-13 14:50:19,663 - root - INFO - Starting sequential batch processing
2025-05-13 14:50:19,664 - root - INFO - Processing notch 1 of 1
2025-05-13 14:50:19,664 - root - INFO - Processing notch: Notch_01
2025-05-13 14:50:20,514 - root - INFO - Generated configuration for cycle 12 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,519 - root - INFO - Generated configuration for cycle 13 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,525 - root - INFO - Generated configuration for cycle 13 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,530 - root - INFO - Generated configuration for cycle 13 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,535 - root - INFO - Generated configuration for cycle 13 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,543 - root - INFO - Generated configuration for cycle 13 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,548 - root - INFO - Generated configuration for cycle 13 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,553 - root - INFO - Generated configuration for cycle 13 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,560 - root - INFO - Generated configuration for cycle 13 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,564 - root - INFO - Generated configuration for cycle 13 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,568 - root - INFO - Generated configuration for cycle 13 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,575 - root - INFO - Generated configuration for cycle 13 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,579 - root - INFO - Generated configuration for cycle 13 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,585 - root - INFO - Generated configuration for cycle 14 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,590 - root - INFO - Generated configuration for cycle 14 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,598 - root - INFO - Generated configuration for cycle 14 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,604 - root - INFO - Generated configuration for cycle 14 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,610 - root - INFO - Generated configuration for cycle 14 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,615 - root - INFO - Generated configuration for cycle 14 with parameters: subset=25, step=2, VSG=6
